,no,distribution,ratings_count,imdb_rating,title_year,movie_year,movie_title,imdb_id,douban_id,douban_rating,douban_ratings_count,douban_title,genre1,genre2,genre3
0,9,12211,144214,7.0,10 Things I Hate About You (1999),1999,10 Things I Hate About You,tt0147800,1296359,7.5,15454,10 Things I Hate About You,Comedy,Drama,Drama
1,11,1111000,83046,4.9,"10,000 BC (2008)",2008,"10,000 BC",tt0443649,1949761,5.6,26809,"10,000 BC",Comedy,Drama,Drama
2,14,1221000,49255,5.5,101 Dalmatians (1996),1996,101 Dalmatians,tt0115433,1293135,7.2,56057,101 Dalmatians,Action,Adventure,Adventure
3,16,11210000,18592,4.6,102 Dalmatians (2000),2000,102 Dalmatians,tt0211181,1301167,6.8,8620,102 Dalmatians,Family,Comedy,Comedy
4,18,13210,30440,7.2,11:14 (2003),2003,上午11:14:00,tt0331811,1394825,7.5,14088,11:14,Adventure,Comedy,Comedy
5,19,1212,8990,7.6,12 (2007),2007,12,tt0488478,2027899,8.4,12783,12,Comedy,Crime,Crime
6,20,133,255877,8.9,12 Angry Men (1957),1957,12 Angry Men,tt0050083,1293182,9.3,76035,12 Angry Men,Crime,Drama,Drama
7,23,2311,187942,7.7,127 Hours (2010),2010,127 Hours,tt1542344,4164444,8.0,62172,127 Hours,Drama,,
8,25,122100,76952,6.0,13 Going on 30 (2004),2004,13 Going on 30,tt0337563,1309086,6.7,23909,13 Going On 30,Adventure,Biography,Biography
9,27,12100,152139,6.8,1408 (2007),2007,1408,tt0450385,1793903,7.1,52694,1408,Comedy,Fantasy,Fantasy
10,30,23100,89282,6.6,16 Blocks (2006),2006,16 Blocks,tt0450232,1428177,7.0,13684,16 Blocks,Horror,Mystery,Mystery
11,31,122100,92089,6.3,17 Again (2009),2009,17 Again,tt0974661,2213591,7.1,113201,17 Again,Action,Crime,Crime
12,38,121000,109486,5.5,2 Fast 2 Furious (2003),2003,2 Fast 2 Furious,tt0322259,1307442,7.0,32281,2 Fast 2 Furious,Comedy,Drama,Drama
13,43,1123,264725,8.3,2001: A Space Odyssey (1968),1968,2001: A Space Odyssey,tt0062622,1292226,8.5,39675,2001: A Space Odyssey,Action,Crime,Crime
14,47,6100000000,5980,1.8,2012 Doomsday (2008) (V),2008,2012 Doomsday,tt1132130,2979528,4.0,8138,2012 Doomsday,Adventure,Mystery,Mystery
15,49,2211,32163,7.4,2046 (2004),2004,2046,tt0212712,1291555,7.0,83548,2046,Adventure,Fantasy,Fantasy
16,51,13100,139625,6.7,21 (2008),2008,21,tt0478087,2156945,6.6,35991,21,Drama,Fantasy,Fantasy
17,52,1321,141028,7.7,21 Grams (2003),2003,21 Grams,tt0315733,1308599,7.9,31639,21 Grams,Crime,Drama,Drama
18,53,12211,210082,7.1,21 Jump Street (2012),2012,21 Jump Street,tt1232829,3072889,6.7,12600,21 Jump Street,Crime,Drama,Drama
19,56,2311,115490,7.7,25th Hour (2002),2002,25th Hour,tt0307901,1292280,8.0,8830,25th Hour,Action,Comedy,Comedy
20,57,122100,78515,6.0,27 Dresses (2008),2008,27 Dresses,tt0988595,2132120,6.5,48728,27 Dresses,Crime,Drama,Drama
21,59,2311,207862,7.6,28 Days Later... (2002),2002,28 Days Later...,tt0289043,1306421,7.1,26801,28 Days Later...,Comedy,Romance,Romance
22,60,12210,147289,7.0,28 Weeks Later (2007),2007,28 Weeks Later,tt0463854,1758487,6.7,18166,28 Weeks Later,Horror,Sci-Fi,Sci-Fi
23,61,124,81242,8.3,3 Idiots (2009),2009,3 Idiots,tt1187043,3793023,9.1,380051,3 Idiots,Horror,Sci-Fi,Sci-Fi
24,67,12100,103591,6.6,30 Days of Night (2007),2007,30 Days of Night,tt0389722,1871836,6.1,8308,30 Days of Night,Comedy,Drama,Drama
25,69,122100,58807,6.1,30 Minutes or Less (2011),2011,30 Minutes or Less,tt1622547,4745364,6.2,6621,30 Minutes or Less,Horror,Thriller,Thriller
26,70,1212,416324,7.7,300 (2006),2006,300,tt0416449,1853176,7.5,62273,300,Action,Comedy,Comedy
27,74,11211,9783,7.2,37°2 le matin (1986),1986,37°2 le matin,tt0090563,1303053,8.0,21478,37°2 le matin,Action,Fantasy,Fantasy
28,76,2311,174621,7.8,3:10 to Yuma (2007),2007,3:10 to Yuma,tt0381849,1793904,7.8,17320,3:10 to Yuma,Drama,Romance,Romance
29,77,1212,35087,7.9,"4 luni, 3 saptamâni si 2 zile (2007)",2007,"4 luni, 3 saptamâni si 2 zile",tt1032846,2078989,7.9,10486,"4 luni, 3 saptamâni si 2 zile",Adventure,Crime,Crime
30,83,121000,144302,5.6,4: Rise of the Silver Surfer (2007),2007,4: Rise of the Silver Surfer,tt0486576,1584750,6.0,32734,4: Rise of the Silver Surfer,Drama,,
31,85,12100,182626,6.7,50 First Dates (2004),2004,50 First Dates,tt0343660,1309172,7.7,138805,50 First Dates,Action,Fantasy,Fantasy
32,86,2311,179150,7.8,50/50 (2011),2011,50/50,tt1306980,3263820,7.6,33191,50/50,Comedy,Romance,Romance
33,92,12201,122717,6.8,8 Mile (2002),2002,8 Mile,tt0298203,1307853,7.8,31573,8 Mile,Comedy,Drama,Drama
34,93,12211,18612,7.0,8 femmes (2002),2002,8 femmes,tt0283832,1299292,7.8,16326,8 femmes,Drama,Music,Music
35,94,122100,51714,5.8,88 Minutes (2007),2007,88 Minutes,tt0411061,1754927,6.3,11711,88 Minutes,Musical,Comedy,Comedy
